Temp.,Press.,Sat. Liquid,Sat. Vapor,Sat. Liquid,Sat. Vapor
(.C),(kPa),h f,hg,s f,sg
195,1397.8,829.96,2789.96,2.2835,6.4697
200,1553.8,852.43,2793.18,2.3308,6.4322
205,1723,875.03,2796.03,2.3779,6.3951
210,1906.3,897.75,2798.48,2.4247,6.3584
215,2104.2,920.61,2800.51,2.4713,6.3221
220,2317.8,943.61,2802.12,2.5177,6.286
225,2547.7,966.77,2803.27,2.5639,6.2502
230,2794.9,990.1,2803.95,2.6099,6.2146
235,3060.1,1013.61,2804.13,2.6557,6.1791
240,3344.2,1037.31,2803.81,2.7015,6.1436
245,3648.2,1061.21,2802.95,2.7471,6.1083
250,3973,1085.34,2801.52,2.7927,6.0729
255,4319.5,1109.72,2799.51,2.8382,6.0374
260,4688.6,1134.35,2796.89,2.8837,6.0018
265,5081.3,1159.27,2793.61,2.9293,5.9661
270,5498.7,1184.49,2789.65,2.975,5.9301
275,5941.8,1210.05,2784.97,3.0208,5.8937
280,6411.7,1235.97,2779.53,3.0667,5.857
285,6909.4,1262.29,2773.27,3.1129,5.8198
290,7436,1289.04,2766.13,3.1593,5.7821
295,7992.8,1316.27,2758.05,3.2061,5.7436
300,8581,1344.01,2748.94,3.2533,5.7044
305,9201.8,1372.33,2738.72,3.3009,5.6642
310,9856.6,1401.29,2727.27,3.3492,5.6229
315,10547,1430.97,2714.44,3.3981,5.5803
320,11274,1461.45,2700.08,3.4479,5.5361
325,12040,1492.84,2683.97,3.4987,5.49
330,12845,1525.29,2665.85,3.5506,5.4416
335,13694,1558.98,2645.35,3.604,5.3903
340,14586,1594.15,2622.01,3.6593,5.3356
345,15525,1631.17,2595.19,3.7169,5.2763
350,16514,1670.54,2563.92,3.7776,5.2111
355,17554,1713.13,2526.72,3.8427,5.1378
360,18651,1760.48,2481,3.9146,5.0525
365,19807,1815.96,2421.4,3.9983,4.947
370,21028,1890.37,2332.12,4.1104,4.7972
374.1,22089,2099.26,2099.26,4.4297,4.4297
